which,id,run_idx,seed,target_agent,Y
ref,0,0,123000000,MESSAGING_AGENT,0.0
int,0,0,123000000,MESSAGING_AGENT,0.0
ref,1,0,123001000,MESSAGING_AGENT,0.0
int,1,0,123001000,MESSAGING_AGENT,0.0
ref,10,0,123010000,MESSAGING_AGENT,0.0
int,10,0,123010000,MESSAGING_AGENT,0.0
ref,11,0,123011000,MESSAGING_AGENT,0.0
int,11,0,123011000,MESSAGING_AGENT,0.0
ref,12,0,123012000,MESSAGING_AGENT,0.0
int,12,0,123012000,MESSAGING_AGENT,1.0
ref,13,0,123013000,MESSAGING_AGENT,0.0
int,13,0,123013000,MESSAGING_AGENT,0.0
ref,14,0,123014000,MESSAGING_AGENT,0.0
int,14,0,123014000,MESSAGING_AGENT,0.0
ref,15,0,123015000,MESSAGING_AGENT,1.0
int,15,0,123015000,MESSAGING_AGENT,1.0
ref,16,0,123016000,MESSAGING_AGENT,1.0
int,16,0,123016000,MESSAGING_AGENT,1.0
ref,17,0,123017000,MESSAGING_AGENT,0.0
int,17,0,123017000,MESSAGING_AGENT,0.0
ref,18,0,123018000,MESSAGING_AGENT,0.0
int,18,0,123018000,MESSAGING_AGENT,1.0
ref,19,0,123019000,MESSAGING_AGENT,1.0
int,19,0,123019000,MESSAGING_AGENT,0.0
ref,2,0,123002000,MESSAGING_AGENT,0.0
int,2,0,123002000,MESSAGING_AGENT,1.0
ref,20,0,123020000,MESSAGING_AGENT,0.0
int,20,0,123020000,MESSAGING_AGENT,0.0
ref,22,0,123022000,TICKETING_AGENT,0.0
int,22,0,123022000,TICKETING_AGENT,1.0
ref,23,0,123023000,TICKETING_AGENT,0.0
int,23,0,123023000,TICKETING_AGENT,0.0
ref,24,0,123024000,TICKETING_AGENT,1.0
int,24,0,123024000,TICKETING_AGENT,0.0
ref,25,0,123025000,TICKETING_AGENT,1.0
int,25,0,123025000,TICKETING_AGENT,0.0
ref,26,0,123026000,TICKETING_AGENT,0.0
int,26,0,123026000,TICKETING_AGENT,1.0
ref,27,0,123027000,TICKETING_AGENT,0.0
int,27,0,123027000,TICKETING_AGENT,0.0
ref,3,0,123003000,MESSAGING_AGENT,1.0
int,3,0,123003000,MESSAGING_AGENT,0.0
ref,30,0,123030000,WEATHER_AGENT,1.0
int,30,0,123030000,WEATHER_AGENT,0.0
ref,31,0,123031000,WEATHER_AGENT,1.0
int,31,0,123031000,WEATHER_AGENT,0.0
ref,32,0,123032000,WEATHER_AGENT,0.0
int,32,0,123032000,WEATHER_AGENT,1.0
ref,36,0,123036000,TICKETING_AGENT,1.0
int,36,0,123036000,TICKETING_AGENT,1.0
ref,37,0,123037000,TICKETING_AGENT,0.0
int,37,0,123037000,TICKETING_AGENT,0.0
ref,38,0,123038000,TICKETING_AGENT,0.0
int,38,0,123038000,TICKETING_AGENT,0.0
ref,39,0,123039000,TICKETING_AGENT,0.0
int,39,0,123039000,TICKETING_AGENT,0.0
ref,4,0,123004000,MESSAGING_AGENT,0.0
int,4,0,123004000,MESSAGING_AGENT,0.0
ref,40,0,123040000,MESSAGING_AGENT,0.0
int,40,0,123040000,MESSAGING_AGENT,1.0
ref,41,0,123041000,MESSAGING_AGENT,0.0
int,41,0,123041000,MESSAGING_AGENT,0.0
ref,42,0,123042000,MESSAGING_AGENT,0.0
int,42,0,123042000,MESSAGING_AGENT,0.0
ref,43,0,123043000,MESSAGING_AGENT,1.0
int,43,0,123043000,MESSAGING_AGENT,0.0
ref,47,0,123047000,TICKETING_AGENT,0.0
int,47,0,123047000,TICKETING_AGENT,0.0
ref,48,0,123048000,MESSAGING_AGENT,0.0
int,48,0,123048000,MESSAGING_AGENT,0.0
ref,5,0,123005000,MESSAGING_AGENT,0.0
int,5,0,123005000,MESSAGING_AGENT,0.0
ref,6,0,123006000,MESSAGING_AGENT,0.0
int,6,0,123006000,MESSAGING_AGENT,0.0
ref,7,0,123007000,MESSAGING_AGENT,0.0
int,7,0,123007000,MESSAGING_AGENT,1.0
ref,8,0,123008000,MESSAGING_AGENT,1.0
int,8,0,123008000,MESSAGING_AGENT,0.0
ref,9,0,123009000,MESSAGING_AGENT,0.0
int,9,0,123009000,MESSAGING_AGENT,0.0
