key,id,target_agent,ref_mean_Y,int_mean_Y,ase,n_ref_samples,n_int_samples
"(0, 'MESSAGING_AGENT')",0,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(1, 'MESSAGING_AGENT')",1,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(10, 'MESSAGING_AGENT')",10,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(11, 'MESSAGING_AGENT')",11,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(12, 'MESSAGING_AGENT')",12,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(13, 'MESSAGING_AGENT')",13,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(14, 'MESSAGING_AGENT')",14,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(15, 'MESSAGING_AGENT')",15,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(16, 'MESSAGING_AGENT')",16,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(17, 'MESSAGING_AGENT')",17,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(18, 'MESSAGING_AGENT')",18,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(19, 'MESSAGING_AGENT')",19,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(2, 'MESSAGING_AGENT')",2,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(20, 'MESSAGING_AGENT')",20,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(22, 'TICKETING_AGENT')",22,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(23, 'TICKETING_AGENT')",23,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(24, 'TICKETING_AGENT')",24,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(25, 'TICKETING_AGENT')",25,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(26, 'TICKETING_AGENT')",26,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(27, 'TICKETING_AGENT')",27,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(3, 'MESSAGING_AGENT')",3,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(30, 'WEATHER_AGENT')",30,WEATHER_AGENT,0.0,0.0,0.0,1,1
"(31, 'WEATHER_AGENT')",31,WEATHER_AGENT,0.0,0.0,0.0,1,1
"(32, 'WEATHER_AGENT')",32,WEATHER_AGENT,0.0,0.0,0.0,1,1
"(36, 'TICKETING_AGENT')",36,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(37, 'TICKETING_AGENT')",37,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(38, 'TICKETING_AGENT')",38,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(39, 'TICKETING_AGENT')",39,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(4, 'MESSAGING_AGENT')",4,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(40, 'MESSAGING_AGENT')",40,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(41, 'MESSAGING_AGENT')",41,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(42, 'MESSAGING_AGENT')",42,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(43, 'MESSAGING_AGENT')",43,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(47, 'TICKETING_AGENT')",47,TICKETING_AGENT,0.0,0.0,0.0,1,1
"(48, 'MESSAGING_AGENT')",48,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(5, 'MESSAGING_AGENT')",5,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(6, 'MESSAGING_AGENT')",6,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(7, 'MESSAGING_AGENT')",7,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(8, 'MESSAGING_AGENT')",8,MESSAGING_AGENT,0.0,0.0,0.0,1,1
"(9, 'MESSAGING_AGENT')",9,MESSAGING_AGENT,0.0,0.0,0.0,1,1
