environment,safe,cf_mode,row_id,y_factual,y_cf_mean,causal_effect_mean,target_agent,cf_agent,n_samples
code_generation,False,baseline,0,1.0,0.0,-1.0,PROGRAMMER,CEO,1
code_generation,False,baseline,1,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,2,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,3,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,4,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,5,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,6,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,7,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,8,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,9,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,10,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,11,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,12,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,13,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,14,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,15,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,baseline,16,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,baseline,17,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,baseline,18,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,19,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,20,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,24,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,25,0.0,1.0,1.0,PROGRAMMER,CEO,1
code_generation,False,baseline,26,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,baseline,27,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,28,1.0,0.0,-1.0,FILES,CEO,1
code_generation,False,baseline,29,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,30,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,31,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,32,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,33,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,34,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,35,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,36,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,37,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,38,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,39,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,40,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,41,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,42,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,43,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,44,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,45,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,46,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,47,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,48,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,49,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,50,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,baseline,51,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,52,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,baseline,53,1.0,1.0,0.0, EXECUTER,CEO,1
code_generation,False,baseline,54,0.0,0.0,0.0, EXECUTER,CEO,1
code_generation,False,replay,0,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,1,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,2,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,3,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,4,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,5,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,6,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,7,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,8,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,9,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,10,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,11,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,12,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,13,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,14,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,15,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,replay,16,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,replay,17,1.0,1.0,0.0,BROWSER,CEO,1
code_generation,False,replay,18,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,replay,19,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,20,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,24,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,25,0.0,0.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,26,1.0,1.0,0.0,PROGRAMMER,CEO,1
code_generation,False,replay,27,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,replay,28,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,replay,29,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,30,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,31,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,replay,32,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,33,0.0,0.0,0.0,FILES,CEO,1
code_generation,False,replay,34,1.0,1.0,0.0,FILES,CEO,1
code_generation,False,replay,35,0.0,0.0,0.0,FILES,CEO,1
